SKP,Vasemmistoliitto,Itsenäisyyspuolue,Muutos 2011,SDP,Vihreät,Kristillisdemokraatit,Kokoomus,Perussuomalaiset,RKP,Keskusta,Piraattipuolue
1.159090909090909,1.388157894736842,2.512820512820513,3.235294117647059,2.801324503311258,2.60126582278481,4.050505050505051,4.594936708860759,3.721854304635762,4.036363636363636,4.028776978417266,3.206896551724138
4.272727272727273,4.217105263157895,3.717948717948718,2.970588235294118,4.006622516556291,3.177215189873418,3.090909090909091,1.677215189873418,3.509933774834437,2.090909090909091,2.971223021582734,2.396551724137931
1.25,1.546052631578947,1.871794871794872,3.352941176470588,2.80794701986755,1.221518987341772,2.808080808080808,3.924050632911392,3.609271523178808,2.290909090909091,2.474820143884892,3.672413793103448
4.159090909090909,3.888157894736842,3.333333333333333,2.441176470588235,3.357615894039735,4.348101265822785,2.95959595959596,2.917721518987342,2.463576158940397,3.254545454545455,3.122302158273381,3.379310344827586
1.181818181818182,1.414473684210526,3.333333333333333,4.588235294117647,1.973509933774834,2.291139240506329,3.878787878787879,4.468354430379747,4.211920529801325,3.709090909090909,3.971223021582734,3.879310344827586
2.454545454545455,2.842105263157895,4.051282051282051,4.882352941176471,2.66887417218543,2.962025316455696,2.797979797979798,3.025316455696203,4.675496688741722,1.2,3.057553956834532,4.827586206896552
1.159090909090909,1.486842105263158,2.333333333333333,2.647058823529412,2.324503311258278,1.949367088607595,3.313131313131313,4.126582278481013,3.112582781456954,3.327272727272727,3.640287769784173,1.53448275862069
2.545454545454545,2.736842105263158,2.717948717948718,2.823529411764706,2.907284768211921,2.79746835443038,2.949494949494949,2.892405063291139,2.794701986754967,2.454545454545455,3.093525179856115,2.810344827586207
2.863636363636364,3.039473684210526,3.384615384615385,4.441176470588235,2.913907284768212,3.683544303797468,1.666666666666667,3.968354430379747,3.576158940397351,3.6,3.071942446043165,4.879310344827586
1.318181818181818,2.013157894736842,1.307692307692308,1.647058823529412,2.655629139072848,2.860759493670886,1.96969696969697,3.006329113924051,1.655629139072848,2.509090909090909,1.474820143884892,2.155172413793103
1.068181818181818,1.072368421052632,1.794871794871795,2.147058823529412,1.145695364238411,1.575949367088608,2.606060606060606,3.341772151898734,1.973509933774834,2.563636363636364,2.568345323741007,2.655172413793103
4.295454545454545,3.868421052631579,4.41025641025641,3.558823529411765,3.344370860927152,2.886075949367089,3.767676767676768,2.822784810126582,3.960264900662252,3.545454545454545,4.266187050359712,2.327586206896552
1.113636363636364,1.243421052631579,2.051282051282051,3.323529411764706,1.549668874172185,1.955696202531646,2.96969696969697,4.379746835443038,2.708609271523179,3.6,3.237410071942446,3.155172413793103
4.772727272727273,3.611842105263158,4.641025641025641,4.058823529411765,3.423841059602649,2.778481012658228,3.686868686868687,3.044303797468354,4.211920529801325,3.890909090909091,3.381294964028777,3.982758620689655
2.25,2.085526315789474,2.717948717948718,4.176470588235294,2.185430463576159,3.113924050632911,2.868686868686869,3.177215189873418,2.682119205298013,3.145454545454545,2.697841726618705,4.517241379310345
1.75,3.085526315789474,1.41025641025641,1.470588235294118,4.172185430463576,4.449367088607595,3.202020202020202,4.512658227848101,1.781456953642384,4.418181818181818,3.841726618705036,3.46551724137931
4.318181818181818,4.611842105263158,3.0,2.352941176470588,4.086092715231788,4.044303797468354,2.363636363636364,1.70253164556962,1.894039735099338,2.418181818181818,2.330935251798561,2.637931034482759
1.090909090909091,1.085526315789474,1.102564102564103,1.823529411764706,1.43046357615894,1.981012658227848,2.454545454545455,4.221518987341772,1.735099337748344,3.345454545454545,1.863309352517986,2.327586206896552
1.340909090909091,2.125,4.205128205128205,4.411764705882353,3.377483443708609,2.588607594936709,4.313131313131313,4.386075949367089,4.682119205298013,3.963636363636364,4.323741007194245,2.896551724137931
3.090909090909091,2.703947368421053,4.307692307692308,4.058823529411765,3.403973509933775,1.645569620253165,3.242424242424242,2.265822784810127,4.344370860927152,1.654545454545455,2.964028776978417,2.189655172413793
4.75,4.743421052631579,3.128205128205128,2.794117647058824,4.437086092715232,4.936708860759494,1.262626262626263,3.778481012658228,2.112582781456954,4.763636363636364,3.316546762589928,4.741379310344828
4.568181818181818,4.434210526315789,2.769230769230769,1.205882352941176,4.033112582781457,4.544303797468354,3.787878787878788,3.462025316455696,1.71523178807947,4.454545454545455,3.381294964028777,3.431034482758621
2.25,2.0,3.538461538461538,4.147058823529412,2.602649006622517,1.867088607594937,3.252525252525253,3.392405063291139,3.854304635761589,2.472727272727273,2.971223021582734,2.293103448275862
1.636363636363636,1.828947368421053,3.846153846153846,3.882352941176471,2.801324503311258,2.044303797468354,4.828282828282828,4.29746835443038,4.516556291390728,3.181818181818182,4.179856115107914,1.844827586206897
1.0,1.131578947368421,1.666666666666667,2.764705882352941,1.456953642384106,2.335443037974684,2.939393939393939,4.164556962025316,2.609271523178808,3.381818181818182,3.02158273381295,2.862068965517241
4.704545454545455,4.657894736842105,3.41025641025641,3.0,4.0,3.892405063291139,3.02020202020202,1.575949367088608,2.768211920529801,2.290909090909091,2.568345323741007,3.068965517241379
1.136363636363636,1.151315789473684,1.538461538461538,2.823529411764706,1.549668874172185,1.746835443037975,2.484848484848485,3.664556962025316,2.615894039735099,3.181818181818182,2.489208633093525,2.913793103448276
1.159090909090909,1.427631578947368,2.41025641025641,3.235294117647059,2.112582781456954,2.512658227848101,3.525252525252525,4.151898734177215,3.423841059602649,3.472727272727273,3.474820143884892,3.103448275862069
