Varsinais-Suomi,Vaasa,Häme,Oulu,Lappi,Kaakkois-Suomi,Helsinki,Pirkanmaa,Uusimaa,Satakunta,Keski-Suomi,default,Savo-Karjala
3.130434782608696,2.987654320987654,3.5125,3.155555555555556,3.018867924528302,3.333333333333333,3.01875,3.145299145299145,3.317460317460317,3.462962962962963,3.077922077922078,4.0,3.197802197802198
3.076086956521739,3.234567901234568,3.275,3.188888888888889,3.471698113207547,3.244444444444444,3.0875,3.188034188034188,2.936507936507937,3.185185185185185,3.350649350649351,2.0,3.747252747252747
2.478260869565217,2.493827160493827,2.5625,2.777777777777778,2.679245283018868,2.555555555555556,2.39375,2.418803418803419,2.626984126984127,3.37037037037037,2.766233766233766,2.0,2.615384615384615
3.597826086956522,3.135802469135802,3.2875,3.155555555555556,2.981132075471698,3.355555555555556,3.59375,3.307692307692308,3.273809523809524,3.12962962962963,3.402597402597403,2.0,3.340659340659341
2.891304347826087,3.160493827160494,3.25,3.311111111111111,3.320754716981132,3.222222222222222,2.90625,3.145299145299145,3.273809523809524,3.685185185185185,3.064935064935065,2.0,3.065934065934066
2.945652173913043,2.716049382716049,3.3375,3.4,3.226415094339623,3.3,2.79375,3.495726495726496,3.115079365079365,3.611111111111111,3.597402597402597,1.0,3.527472527472527
2.630434782608696,2.666666666666667,2.9,2.744444444444444,2.679245283018868,2.8,2.59375,2.564102564102564,2.76984126984127,3.037037037037037,2.441558441558442,4.0,2.692307692307692
2.652173913043478,2.716049382716049,3.175,2.455555555555556,2.981132075471698,3.033333333333333,2.86875,2.846153846153846,2.662698412698413,3.148148148148148,3.090909090909091,1.0,2.945054945054945
3.445652173913043,3.111111111111111,3.025,3.222222222222222,3.358490566037736,3.377777777777778,3.4875,3.333333333333333,3.55952380952381,3.222222222222222,3.246753246753247,1.0,3.076923076923077
1.891304347826087,2.160493827160494,2.0875,2.122222222222222,2.471698113207547,2.166666666666667,2.5875,2.025641025641026,2.222222222222222,2.407407407407407,1.896103896103896,2.0,2.087912087912088
2.032608695652174,1.864197530864198,2.0375,1.955555555555556,2.056603773584906,1.922222222222222,2.0125,2.094017094017094,2.150793650793651,2.166666666666667,2.12987012987013,2.0,1.758241758241758
3.445652173913043,3.703703703703704,3.375,3.966666666666667,4.528301886792453,3.766666666666667,2.9375,3.384615384615385,3.333333333333333,3.611111111111111,3.597402597402597,2.0,4.043956043956044
2.293478260869565,2.62962962962963,2.5125,2.755555555555556,2.584905660377358,2.4,2.4875,2.615384615384615,2.726190476190476,2.981481481481481,2.61038961038961,2.0,2.406593406593407
3.554347826086957,4.061728395061728,3.7625,3.722222222222222,3.69811320754717,3.344444444444444,3.46875,3.735042735042735,3.488095238095238,3.481481481481481,3.636363636363636,4.0,3.285714285714286
3.08695652173913,2.641975308641975,2.65,2.644444444444444,2.226415094339623,2.6,3.0625,2.777777777777778,2.952380952380952,3.037037037037037,3.025974025974026,2.0,2.516483516483516
3.195652173913043,3.432098765432099,3.325,3.366666666666667,3.264150943396226,3.644444444444444,3.5875,3.401709401709402,3.44047619047619,3.296296296296296,3.480519480519481,5.0,3.615384615384615
3.010869565217391,3.148148148148148,3.05,3.011111111111111,2.943396226415094,2.933333333333333,3.3125,3.008547008547009,2.896825396825397,2.574074074074074,3.142857142857143,3.0,3.076923076923077
1.934782608695652,2.098765432098765,1.9125,2.0,1.867924528301887,2.011111111111111,2.29375,2.102564102564103,2.297619047619048,2.407407407407407,1.857142857142857,2.0,1.857142857142857
3.673913043478261,3.407407407407407,3.775,3.477777777777778,3.679245283018868,3.777777777777778,3.28125,3.521367521367521,3.678571428571429,3.944444444444444,3.337662337662338,5.0,3.582417582417582
3.08695652173913,2.814814814814815,3.0875,3.0,3.188679245283019,3.055555555555556,2.2,3.085470085470085,2.845238095238095,3.314814814814815,2.805194805194805,1.0,3.21978021978022
3.891304347826087,3.617283950617284,3.625,3.577777777777778,3.867924528301887,3.522222222222222,4.1125,3.760683760683761,3.753968253968254,3.259259259259259,3.844155844155844,4.0,3.637362637362637
3.58695652173913,3.493827160493827,3.5,3.333333333333333,3.452830188679245,3.455555555555556,4.03125,3.615384615384615,3.531746031746032,3.12962962962963,3.818181818181818,4.0,3.67032967032967
2.782608695652174,2.703703703703704,2.675,3.055555555555556,2.566037735849057,3.066666666666667,2.44375,2.863247863247863,2.916666666666667,3.296296296296296,2.779220779220779,4.0,2.846153846153846
3.25,3.469135802469136,3.525,3.166666666666667,3.245283018867925,3.433333333333333,2.80625,3.35042735042735,3.349206349206349,3.537037037037037,3.194805194805195,4.0,3.582417582417582
2.391304347826087,2.679012345679012,2.4625,2.533333333333333,2.584905660377358,2.344444444444444,2.425,2.512820512820513,2.531746031746032,2.648148148148148,2.558441558441558,2.0,2.274725274725275
3.282608695652174,3.432098765432099,3.0625,3.244444444444444,3.415094339622642,3.244444444444444,3.275,3.162393162393162,3.031746031746032,3.166666666666667,3.285714285714286,4.0,3.516483516483516
2.195652173913043,2.209876543209877,2.0125,2.311111111111111,2.377358490566038,2.133333333333333,2.28125,2.290598290598291,2.496031746031746,2.462962962962963,2.155844155844156,1.0,1.879120879120879
2.608695652173913,2.740740740740741,3.0,2.788888888888889,2.754716981132075,3.0,2.68125,2.837606837606838,3.107142857142857,3.074074074074074,2.948051948051948,2.0,2.813186813186813
2.402173913043478,2.617283950617284,2.225,2.311111111111111,2.849056603773585,2.266666666666667,2.15,2.290598290598291,2.404761904761905,2.740740740740741,2.441558441558442,2.0,2.362637362637363
4.08695652173913,3.938271604938272,4.15,4.088888888888889,3.811320754716981,4.044444444444444,4.225,4.102564102564103,4.071428571428571,3.777777777777778,4.168831168831169,4.0,4.142857142857143
