Varsinais-Suomi,Vaasa,Häme,Oulu,Lappi,Kaakkois-Suomi,Helsinki,Pirkanmaa,Uusimaa,Satakunta,Keski-Suomi,default,Savo-Karjala
2.092689918776875,2.0873456790123477,1.847943037974682,2.042946317103619,2.28809869375907,1.7752808988764044,1.9556210691823936,2.108016504568229,1.7314867514070755,1.8759608665269043,2.1517429938482544,NaN,2.0048840048840044
1.829311992355473,1.95679012345679,1.7462025316455692,1.8852684144818985,1.869375907111756,1.7822721598002482,1.8790880503144671,1.7229590333038594,1.6692594700562866,1.5122292103424175,1.572795625427203,NaN,1.7242979242979242
2.010511227902529,2.0280864197530866,2.553006329113924,2.3545568039950053,2.298984034833091,2.1822721598002492,2.0389544025157242,2.228264073091662,2.027635489786884,2.199860237596086,2.5235816814764216,NaN,2.2837606837606805
1.3199952221691351,1.443827160493827,1.194778481012658,1.571036204744068,1.634252539912917,1.4676654182272173,1.3496462264150944,1.5769230769230793,1.4267216846898103,1.43570929419986,1.5857826384142177,NaN,1.7604395604395602
2.339703774486381,2.511419753086416,2.0126582278481013,1.9021223470661677,2.6835994194484747,2.579275905118605,2.286753144654088,2.314913056292367,2.175725668753561,1.616002795248077,2.324675324675327,NaN,2.173382173382173
2.315695174390827,1.980864197530865,2.201107594936709,2.2876404494382045,2.178519593613932,1.9202247191011237,2.127004716981133,1.9245505452401974,2.3890944159868477,1.5628930817610078,1.7963089542036905,NaN,1.7409035409035423
1.9058767319636911,1.774999999999998,1.8126582278481005,1.9227215980024974,1.7989840348330917,1.9595505617977513,1.9911556603773586,2.127320954907163,1.755580851198386,1.658979734451432,1.9077238550922764,NaN,1.9931623931623945
1.7677974199713333,1.580864197530865,1.3360759493670893,1.2171036204744083,1.6342525399129177,1.4483146067415715,1.636753144654088,1.49336870026525,1.4276070321887036,1.2606568832983922,1.6363636363636374,NaN,1.630280830280832
1.964046822742475,1.8999999999999992,2.1006329113924047,2.1298377028714115,2.119013062409289,2.282646691635456,1.8992138364779865,1.9482758620689649,1.6657655093910075,2.327044025157233,2.319890635680109,NaN,2.1384615384615375
1.1968466316292397,1.4614197530864232,1.4985759493670865,1.479275905118602,1.9462989840348328,1.5561797752808983,1.7407232704402542,1.3355437665782497,1.4165559982293034,1.7931516422082454,1.1206425153793576,NaN,1.3032967032967053
1.6143096034400397,1.443827160493828,1.5302215189873414,1.6609238451935084,1.7851959361393321,1.4433208489388247,1.7231132075471693,1.6893604479811373,1.7381268576487714,1.7264150943396233,1.7987012987012998,NaN,1.1853479853479842
1.6783325370281892,1.436111111111111,1.8322784810126582,0.976404494382022,0.7155297532656023,1.3943820224719088,1.8073899371069182,1.7559681697612708,1.5697211155378505,1.4496855345911954,1.7699931647300071,NaN,1.0647130647130656
1.8799569995222176,1.91111111111111,1.8479430379746833,2.119350811485641,2.4397677793904218,2.1078651685393255,2.1004716981132048,2.1352785145888578,1.8729368241320383,1.9430468204053128,2.0304169514695833,NaN,1.999511599511599
1.678332537028189,1.2336419753086423,1.3479430379746828,1.326466916354558,1.4455732946298978,1.4867665418227216,1.5084512578616351,1.6102269378131424,1.4938816163915833,1.2732354996505935,1.5765550239234443,NaN,1.5619047619047604
1.9264214046822716,1.8077160493827147,2.10379746835443,1.6249687890137352,1.5246734397677786,1.7033707865168546,1.9205974842767295,1.7260536398467423,1.734775184974389,1.5835080363382248,2.025632262474366,NaN,1.4525030525030531
2.3129479216435747,2.0734567901234575,2.1715189873417717,2.302247191011235,2.2750362844702483,1.8047440699126103,1.9922955974842749,2.001031535514291,1.9207455890722827,2.1369671558350802,1.8318523581681494,NaN,2.0170940170940157
2.7141662685140893,2.027777777777778,2.4278481012658206,2.3257178526841438,2.4390420899854854,2.3999999999999995,2.404874213836478,2.3361332154435615,2.220388288117372,2.2113906359189395,2.176691729323308,NaN,2.427350427350426
1.5121834687052078,1.7901234567901227,1.5998417721518985,2.0,1.6937590711175627,1.6290886392010002,2.082979559748425,2.110079575596817,1.883181559476376,2.132774283717679,1.308270676691729,NaN,1.3904761904761906
2.046344959388436,1.8944444444444428,1.518354430379746,2.2298377028714156,2.0297532656023227,1.7478152309612969,2.0398977987421385,2.0275567344532837,1.6293397837222547,1.2987421383647808,2.2002734107997264,NaN,2.0459096459096475
2.2560917343526006,2.0027777777777773,2.0555379746835465,1.8651685393258426,1.9637155297532674,2.2328339575530594,1.7333333333333338,1.9753905098732687,2.226949345475243,2.1820405310971345,1.7641831852358152,NaN,1.9067155067155088
2.1199235547061646,2.6641975308641976,2.8449367088607596,2.4489388264669167,2.2322206095790995,2.70174781523096,1.9746855345911933,2.321544356027113,2.5129323973945508,2.9126484975541596,2.3438140806561862,NaN,2.4114774114774136
2.047300525561395,2.078086419753087,2.151898734177215,2.3820224719101133,2.06023222060958,2.1833957553058676,1.7285770440251573,1.824933687002652,2.050781002972238,2.3791055206149547,1.4665071770334939,NaN,1.645665445665445
2.0401337792642154,1.76111111111111,1.8424050632911386,1.918227215980025,1.7503628447024673,2.062921348314606,1.8332940251572352,1.9983790156203922,1.8376494023904302,1.570929419986024,2.3585099111414927,NaN,1.8871794871794842
2.2774725274725274,2.1771604938271576,1.8474683544303792,2.365168539325845,2.1502177068214814,2.270786516853935,2.471658805031443,2.3502799882110232,2.044899766015306,2.3665269042627526,2.237867395762131,NaN,2.0903540903540914
1.8891543239369337,1.9706790123456777,1.6947784810126574,1.9370786516853917,2.093613933236576,1.6665418227215982,1.8056603773584894,1.9761273209549042,1.7639284133308009,1.9304682040531083,2.0919343814080658,NaN,1.534798534798536
2.029144768275203,1.6734567901234574,1.831487341772152,1.804744069912608,2.2474600870827293,1.7373283395755295,1.9113207547169824,2.1544356027114677,1.7440080946057053,2.1037735849056607,1.864661654135337,NaN,1.8747252747252736
1.7634973721930243,1.9929012345679014,1.4808544303797466,1.969538077403247,1.9317851959361394,1.5101123595505626,1.7380110062893082,1.8975832596522244,1.780860684247147,1.762753319357093,1.6859193438140805,NaN,1.1518925518925527
1.7572861920687992,2.044444444444447,2.050632911392405,1.8538077403245945,1.919448476052248,1.9101123595505618,1.878891509433963,2.206159740642503,1.8968412066021663,1.8812019566736538,1.9446343130553656,NaN,1.975824175824176
1.561753463927376,1.6891975308641975,1.543670886075949,1.5425717852684144,1.7844702467343971,1.5460674157303367,1.2981132075471713,1.7079280872384301,1.5167899829254414,1.6673654786862349,1.5919343814080673,NaN,1.7892551892551896
0.9813664596273293,1.1586419753086423,1.0405063291139227,1.0481897627965038,1.3483309143686504,0.9418227215980015,0.8169811320754705,1.0238726790450918,1.0227660785429706,1.1949685534591188,0.7737525632262486,NaN,1.234920634920634
