NULL,FEMALE,MALE
0.25,1.8930529956538655,2.003894297635609
0.0,1.7007000857093038,1.859983001081747
3.0,1.8816908245538055,2.2499690928759124
2.25,1.3810574859110494,1.5173678720445043
0.6666666666666666,2.1416858185238237,2.2890125173852565
4.25,2.065112521901385,2.12535736362232
0.3333333333333333,1.7033699683710006,2.003150594962154
2.0,1.542919122276072,1.5246175243393638
2.6666666666666665,1.9338331778429976,2.0134136918559773
1.3333333333333333,1.364298662783205,1.5938630041724693
1.6666666666666667,1.5155528249937484,1.6844672384484667
0.25,1.4818758959655969,1.7549374130736979
0.6666666666666666,1.9027654523251525,2.0838181888425287
0.6666666666666666,1.533104269536777,1.4798157162726056
0.9166666666666666,1.6323298518670146,1.9298331015299006
2.0,1.7719715414779837,2.191655076495134
0.9166666666666666,2.249395104709463,2.4040314479987623
0.25,1.69049081848591,1.9103616133518877
0.9166666666666666,1.921693555115637,1.8525652912996462
1.5833333333333333,1.9497576626390705,2.169863622314943
4.25,2.2136816316623764,2.531971488178031
3.5833333333333335,1.6374875797361894,2.168132823365788
0.6666666666666666,1.8125469315311766,1.9470792767732983
0.6666666666666666,2.2298867575336923,2.2516438726626613
2.25,1.758333902200364,1.8677773914387312
1.3333333333333333,1.8504107220060646,1.893919023334883
2.25,1.6216048118567086,1.7909983001081646
0.0,1.9628036801905417,1.9454798331015264
3.0,1.453117770647985,1.6434554164735042
1.3333333333333333,0.8848575177676097,1.1015221758615301
